,reading_id,prcp_bool,station,name,latitude,longitude,elevation,date,prcp,tobs
226,226,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-06,0.0,77
227,227,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-07,0.06,76
228,228,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-08,0.0,78
229,229,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-09,0.0,78
230,230,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-10,0.0,78
231,231,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-11,0.05,78
232,232,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-12,0.0,74
233,233,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-13,0.0,78
234,234,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-14,0.0,79
235,235,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-15,0.0,77
236,236,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-16,0.0,79
237,237,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-17,0.0,78
238,238,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-19,0.0,78
239,239,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-20,0.0,78
240,240,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-21,0.0,79
241,241,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-22,0.04,76
